table_schema	table_name	ordinal_position	column_name	data_type	udt_name	is_nullable	column_default	character_maximum_length
blockchain	kyc_documents	6	expiry_date	date	date	YES		
blockchain	kyc_documents	7	file_name	character varying	varchar	NO		255
blockchain	kyc_documents	8	original_file_name	character varying	varchar	NO		255
blockchain	kyc_documents	9	file_path	text	text	NO		
blockchain	kyc_documents	10	mime_type	character varying	varchar	YES		100
blockchain	kyc_documents	11	file_size	bigint	int8	YES		
blockchain	kyc_documents	12	kyc_status	character varying	varchar	NO	'Pending'::character varying	30
blockchain	kyc_documents	13	rejection_reason	text	text	YES		
blockchain	kyc_documents	14	uploaded_by	character varying	varchar	YES		150
blockchain	kyc_documents	15	reviewed_by	character varying	varchar	YES		150
blockchain	kyc_documents	16	reviewed_at	timestamp without time zone	timestamp	YES		
blockchain	kyc_documents	17	created_at	timestamp without time zone	timestamp	YES	now()	
blockchain	kyc_documents	18	updated_at	timestamp without time zone	timestamp	YES	now()	
blockchain	kyc_hashes	1	customer_id	character varying	varchar	NO		50
blockchain	kyc_hashes	2	hash	character varying	varchar	NO		64
blockchain	kyc_records	1	kyc_id	bigint	int8	NO	nextval('blockchain.kyc_records_kyc_id_seq'::regclass)	
blockchain	kyc_records	2	customer_id	bigint	int8	NO		
blockchain	kyc_records	3	customer_def_id	bigint	int8	YES		
blockchain	kyc_records	4	wallet_address	character varying	varchar	YES		255
blockchain	kyc_records	5	first_name	character varying	varchar	NO		150
blockchain	kyc_records	6	middle_name	character varying	varchar	YES		150
blockchain	kyc_records	7	last_name	character varying	varchar	NO		150
blockchain	kyc_records	8	date_of_birth	date	date	YES		
blockchain	kyc_records	9	gender	character varying	varchar	YES		30
blockchain	kyc_records	10	nationality	character varying	varchar	YES		10
blockchain	kyc_records	11	country_of_birth	character varying	varchar	YES		10
blockchain	kyc_records	12	country_of_residence	character varying	varchar	YES		10
blockchain	kyc_records	13	email	character varying	varchar	YES		320
blockchain	kyc_records	14	phone_number	character varying	varchar	YES		50
blockchain	kyc_records	15	alternative_phone_number	character varying	varchar	YES		50
blockchain	kyc_records	16	region	character varying	varchar	YES		150
blockchain	kyc_records	17	caza	character varying	varchar	YES		150
blockchain	kyc_records	18	city	character varying	varchar	YES		150
blockchain	kyc_records	19	street_address	text	text	YES		
blockchain	kyc_records	20	postal_code	character varying	varchar	YES		30
blockchain	kyc_records	21	identification_type	character varying	varchar	YES		50
blockchain	kyc_records	22	identification_number	character varying	varchar	YES		150
blockchain	kyc_records	23	identification_expiry_date	date	date	YES		
blockchain	kyc_records	24	bank_name	character varying	varchar	YES		255
blockchain	kyc_records	25	kyc_status	character varying	varchar	NO	'PENDING'::character varying	30
blockchain	kyc_records	26	risk_level	character varying	varchar	NO	'UNKNOWN'::character varying	30
blockchain	kyc_records	27	notes	text	text	YES		
blockchain	kyc_records	28	storage_mode	character varying	varchar	NO		40
blockchain	kyc_records	29	hash_algorithm	character varying	varchar	YES		20
blockchain	kyc_records	30	kyc_hash	character varying	varchar	YES		64
