status_id,status_name,creation_date,created_by,updated_by,update_date,is_deleted,status_name_ml,status_color,status_code
984,Overdue but Matured,2019-11-20,-8,-8,2020-01-21,0,,,21
985,Reserved,2019-11-20,-8,-8,2020-01-21,0,,,22
986,Unavailable,2019-11-20,-8,-8,2020-01-21,0,,,23
987,Inactive - Expired,2020-10-02,-53,,,0,,,
988,Inactive – Cancelled,2020-10-02,-53,,,0,,,
922,Accepted,2019-03-05,7767,,,0,,,
942,Dormant,2019-03-08,7767,,,0,,,
943,Pending COU Approval,2019-07-08,-911,,,0,,,
944,COU Approved,2019-07-08,-911,,,0,,,
966,Accepted By First Validator,2019-12-05,-1,,,0,,,
208,Executed,2019-09-24,-1,,,0,,#30FC74,
220,Blocked,2019-09-24,-1,-8,2020-01-21,0,,#F23E0A,25
744,Accepted,2019-09-24,-1,,,0,,,
1010,replaced,2022-08-22,-8,,,0,,,26
993,Pending Next Approval,2021-08-02,-7,,,0,,,
1009,Approved,2021-08-05,-70,,,0,,,
22,Reverse Pay,2023-01-11,-1995,,,0,,,BM-REJECTED
230,ISSUED,2025-10-24,,,,0,,,
231,Requested,2025-10-24,,,,0,,,
232,CONFIRMED,2025-10-24,,,,0,,,
233,SUCCESS,2025-10-24,,,,0,,,
234,Approved,2025-10-24,,,,0,,,
235,Not Paid,2025-10-24,,,,0,,,
1529,Liscensed,2025-11-03,-1995,1,2025-11-03,N,,#00FF00,LIC
1530,Verified,2025-11-03,1,1,2025-11-03,N,,#00FF00,LIC
1531,Under Creation,2026-02-20,-121,,,N,,,
1532,Unqualified,2026-02-20,-121,,,N,,,
1533,Partially Suspended,2026-02-20,-121,,,N,,,
1534,Permanently Suspended,2026-02-20,-121,,,N,,,
1146,Open,2022-12-20,-1995,,,0,,,3
1150,In progress,2022-12-21,-1995,,,0,,,C
915,under investigation,2018-07-09,,-8,2020-01-21,0,,,10
32,under review,2014-09-30,-777,,,0,,,
31,Resolved,2014-09-30,-777,,,0,,,
322,Murder,2014-09-30,-777,,,0,,,
314,Espionage,2014-09-30,-777,,,0,,,
327,Cybercrime,2014-09-30,-777,,,0,,,
319,Fraud,2014-09-30,-777,,,0,,,
311,Missing Person,2014-09-30,-777,,,0,,,
3,Assault,2023-01-11,-1995,,,0,,#07C446,11
2000,identified,2026-03-04,-777,,,0,,,
2001,undervision,2026-03-04,-777,,,0,,,
2002,captured,2026-03-04,-777,,,0,,,
2003,not identified,2026-03-04,-777,,,0,,,
